Name,Abbreviation,Online Reg Implement Yr,Early Voting Options
Alabama,AL,2016,
Alaska,AK,2015,
Arizona,AZ,2002,
Arkansas,AR,,
California,CA,2012,
Colorado,CO,2010,
Connecticut,CT,2014,
Delaware,DE,2014,
Florida,FL,2017,
Geogria,GA,2014,
Hawaii,HI,2015,
Idaho,ID,2017,
Illinois,IL,2014,
Indiana,IN,2010,
Iowa,IA,2016,
Kansas,KS,2009,
Kentucky,KY,2016,
Louisiana,LA,2010,
Maine,ME,,
Maryland,MD,2012,
Massachusetts,MA,2015,
Michigan,MI,2019,
Minnesota,MN,2013,
Mississippi,MS,,
Missouri,MO,2014,
Montana,MT,,
Nebraska,NE,2015,
Nevada,NV,2012,
New Hampshire,NH,,
New Jersey,NJ,,
New Mexico,NM,2016,
New York,NY,2011,
North Carolina,NC,,
North Dakota,ND,,
Ohio,OH,2017,
Oklahoma,OK,2018,
Oregon,OR,2010,
Pennsylvania,PA,2015,
Rhode Island,RI,2017,
South Carolina,SC,2012,
South Dakota,SD,,
Tennessee,TN,2017,
Texas,TX,,
Utah,UT,2010,
Vermont,VT,2015,
Virginia,VA,2013,
Washington,WA,2008,
West Virginia,WV,2015,
Wisconsin,WI,2017,
Wyoming,WY,,
